type,maturity,coupon,bid,ask,price,ytm,ttm_years,id
note,2027-09-30,0.041299999999999996,99.875,99.90625,99.90625,0.042199999999999994,1.0924024640657084,N20270930_41
note,2027-10-15,0.0388,99.5625,99.59375,99.59375,0.0424,1.1334702258726899,N20271015_39
note,2027-10-31,0.005,95.75,95.78125,95.78125,0.042300000000000004,1.1772758384668036,N20271031_5
note,2027-10-31,0.035,99.09375,99.125,99.125,0.0426,1.1772758384668036,N20271031_35
note,2027-10-31,0.041299999999999996,99.84375,99.875,99.875,0.042300000000000004,1.1772758384668036,N20271031_41
note,2027-11-15,0.0225,97.625,97.65625,97.65625,0.042699999999999995,1.218343600273785,N20271115_22
note,2027-11-15,0.041299999999999996,99.78125,99.8125,99.8125,0.042699999999999995,1.218343600273785,N20271115_41
note,2027-11-15,0.0613,102.125,102.15625,102.15625,0.042699999999999995,1.218343600273785,N20271115_61
note,2027-11-30,0.0063,95.59375,95.625,95.625,0.042699999999999995,1.2594113620807665,N20271130_6
note,2027-11-30,0.0338,98.875,98.90625,98.90625,0.042699999999999995,1.2594113620807665,N20271130_34
note,2027-11-30,0.0388,99.5,99.53125,99.53125,0.042699999999999995,1.2594113620807665,N20271130_39
note,2027-12-15,0.04,99.625,99.65625,99.65625,0.042699999999999995,1.3004791238877482,N20271215_40
note,2027-12-31,0.0063,95.28125,95.3125,95.3125,0.042800000000000005,1.3442847364818618,N20271231_6
note,2027-12-31,0.0338,98.78125,98.8125,98.8125,0.0429,1.3442847364818618,N20271231_34
note,2027-12-31,0.0388,99.4375,99.46875,99.46875,0.0429,1.3442847364818618,N20271231_39
note,2028-01-15,0.0425,99.90625,99.9375,99.9375,0.0429,1.3853524982888432,N20280115_42
note,2028-01-31,0.0075,95.15625,95.1875,95.1875,0.043,1.429158110882957,N20280131_8
note,2028-01-31,0.035,98.90625,98.9375,98.9375,0.0429,1.429158110882957,N20280131_35
note,2028-02-15,0.0275,97.8125,97.84375,97.84375,0.043,1.4702258726899384,N20280215_28
note,2028-02-15,0.0425,99.90625,99.9375,99.9375,0.042800000000000005,1.4702258726899384,N20280215_42
note,2028-02-29,0.0113,95.40625,95.4375,95.4375,0.043,1.5085557837097878,N20280229_11
note,2028-02-29,0.0338,98.65625,98.6875,98.6875,0.0429,1.5085557837097878,N20280229_34
note,2028-02-29,0.04,99.53125,99.5625,99.5625,0.043,1.5085557837097878,N20280229_40
note,2028-03-15,0.0388,99.34375,99.375,99.375,0.0429,1.5496235455167693,N20280315_39
note,2028-03-31,0.0125,95.34375,95.375,95.375,0.0431,1.593429158110883,N20280331_12
note,2028-03-31,0.0363,98.9375,98.96875,98.96875,0.0431,1.593429158110883,N20280331_36
note,2028-03-31,0.0388,99.3125,99.34375,99.34375,0.0431,1.593429158110883,N20280331_39
note,2028-04-15,0.0375,99.09375,99.125,99.125,0.0431,1.6344969199178645,N20280415_38
note,2028-04-30,0.0125,95.09375,95.125,95.125,0.0431,1.675564681724846,N20280430_12
note,2028-04-30,0.035,98.65625,98.6875,98.6875,0.0432,1.675564681724846,N20280430_35
note,2028-04-30,0.0375,99.0625,99.09375,99.09375,0.0431,1.675564681724846,N20280430_38
note,2028-05-15,0.0288,97.625,97.65625,97.65625,0.0432,1.7166324435318274,N20280515_29
note,2028-05-15,0.0375,99.03125,99.0625,99.0625,0.0431,1.7166324435318274,N20280515_38
note,2028-05-31,0.0125,94.84375,94.875,94.875,0.0432,1.7604380561259412,N20280531_12
note,2028-05-31,0.0363,98.78125,98.8125,98.8125,0.0433,1.7604380561259412,N20280531_36
note,2028-05-31,0.04,99.4375,99.46875,99.46875,0.0432,1.7604380561259412,N20280531_40
note,2028-06-15,0.0388,99.1875,99.21875,99.21875,0.0433,1.8015058179329226,N20280615_39
note,2028-06-30,0.0125,94.59375,94.625,94.625,0.0432,1.842573579739904,N20280630_12
note,2028-06-30,0.04,99.40625,99.4375,99.4375,0.0432,1.842573579739904,N20280630_40
note,2028-06-30,0.041299999999999996,99.625,99.65625,99.65625,0.0432,1.842573579739904,N20280630_41
note,2028-07-15,0.0388,99.15625,99.1875,99.1875,0.0433,1.8836413415468858,N20280715_39
note,2028-07-31,0.01,93.90625,93.9375,93.9375,0.0434,1.9274469541409993,N20280731_10
note,2028-07-31,0.041299999999999996,99.59375,99.625,99.625,0.0433,1.9274469541409993,N20280731_41
